lemma,pos,semantic_relationship,sense_source,sense_target
demarcate,verb,narrower,"separate clearly, as if by boundaries",to mark by bounds; to set the limits of; to separate; to discriminate.
ground,noun,narrower,a relation that provides the foundation for something,"the basis on which anything rests; foundation. hence: the foundation of knowledge, belief, or conviction; a premise, reason, or datum; ultimate or first principle; cause of existence or occurrence; originating force or agency; ."
ground,noun,exact,the solid part of the earth's surface,"the surface of the earth; the outer crust of the globe, or some indefinite portion of it."
ground,noun,exact,the part of a scene (or picture) that lies behind objects in the foreground,"that surface upon which the figures of a composition are set, and which relieves them by its plainness, being either of one tint or of tints but slightly contrasted with one another"
ground,noun,exact,"a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)","a conducting connection with the earth, whereby the earth is made part of an electrical circuit."
ground,noun,narrower,a position to be won or defended in battle (or as if in battle),any definite portion of the earth's surface; region; territory; country.
ground,noun,narrower,a rational motive for a belief or action,"the basis on which anything rests; foundation. hence: the foundation of knowledge, belief, or conviction; a premise, reason, or datum; ultimate or first principle; cause of existence or occurrence; originating force or agency; ."
respite,noun,exact,a pause from doing something (as work),"temporary intermission of labor, or of any process or operation; interval of rest; pause; delay."
respite,noun,exact,the act of reprieving; postponing or remitting punishment,a putting off of that which was appointed; a postponement or delay.
morgan,noun,exact,United States financier and philanthropist (1837-1913),", a noted american financier and philanthropist; 1837-1913."
morgan,noun,exact,an American breed of small compact saddle horses,one of a celebrated breed of small compact american saddle and trotting horses; -- so called from the name of the stud (justin morgan) from which the breed originated in vermont.
hereafter,noun,exact,the time yet to come,a future existence or state.
coincidence,noun,exact,the temporal property of two things happening at the same time,the condition or fact of happening at the same time; .
coincidence,noun,exact,the quality of occupying the same position or area in space,the condition of occupying the same place in space;
reject,verb,narrower,refuse to accept,to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate.
reject,verb,exact,refuse to accept or acknowledge,to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate.
fullness,noun,exact,the condition of being filled to capacity,"the state of being full, or of abounding; abundance; completeness."
ruddy,adjective,exact,inclined to a healthy reddish color often associated with outdoor life,"of a lively flesh color, or the color of the human skin in high health; ."
ruddy,adjective,exact,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,"of a red color; red, or reddish; ."
lineage,noun,exact,the kinship relation between an individual and the individual's progenitors,descent in a line from a common progenitor; progeny; race; descending line of offspring or ascending line of parentage.
incontrovertible,adjective,exact,impossible to deny or disprove,not controvertible; too clear or certain to admit of dispute; indisputable.
groom,noun,narrower,a man who has recently been married,"a man recently married, or about to be married; a bridegroom."
groom,noun,narrower,a man participant in his own marriage ceremony,"a man recently married, or about to be married; a bridegroom."
groom,noun,exact,someone employed in a stable to take care of the horses,"a boy or young man; a waiter; a servant; especially, a man or boy who has charge of horses, or the stable."
sectarian,adjective,narrower,of or relating to or characteristic of a sect or sects,"pertaining to a sect, or to sects; peculiar to a sect; bigotedly attached to the tenets and interests of a denomination; ."
sectarian,adjective,narrower,belonging to or characteristic of a sect,"pertaining to a sect, or to sects; peculiar to a sect; bigotedly attached to the tenets and interests of a denomination; ."
daybed,noun,exact,an armless couch; a seat by day and a bed by night,an armless couch; a seat by day and a bed by night.
daybed,noun,exact,a long chair; for reclining,a long chair; for reclining.
impertinent,adjective,related,characterized by a lightly pert and exuberant quality,trifing; inattentive; frivolous.
impertinent,adjective,exact,improperly forward or bold,"contrary to, or offending against, the rules of propriety or good breeding; guilty of, or prone to, rude, unbecoming, or uncivil words or actions;"
